大限/流年,干支,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,大限宮位,本命宮位,boshi
2017,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大子,夫妻,喜神
2017,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大夫,兄弟,病符
2017,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大兄,命宮,大耗
2017,戊辰, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,父母,伏兵
2017,己巳,天府, , , , , , , , ,1, , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , ,1, ,科, ,大父,福德,官符
2017,庚午,天同, , ,權,太陰, ,權,祿,1, ,1, ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大福,田宅,博士
2017,辛未,武曲,祿, , ,貪狼,權,祿, , , , ,1, ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大田,官祿,力士
2017,壬申,太陽, , , ,巨門, , ,忌, , , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,大官,僕役,青龍
2017,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,遷移,小耗
2017,甲戌,天機, ,忌,科,天梁,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,疾厄,將軍
2017,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大疾,財帛,奏書
2018,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大財,子女,蜚廉
2018,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大子,夫妻,喜神
2018,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大夫,兄弟,病符
2018,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大兄,命宮,大耗
2018,戊辰, , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,大命,父母,伏兵
2018,己巳,天府, , , , , , , , ,1,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,科,科,大父,福德,官符
2018,庚午,天同, , , ,太陰, ,權,權,1, , , ,1,1, , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大福,田宅,博士
2018,辛未,武曲,祿, , ,貪狼,權,祿,祿, , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大田,官祿,力士
2018,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,大官,僕役,青龍
2018,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,遷移,小耗
2018,甲戌,天機, ,忌,忌,天梁,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,疾厄,將軍
2018,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,大疾,財帛,奏書
2019,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大財,子女,蜚廉
2019,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大子,夫妻,喜神
2019,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大夫,兄弟,病符
2019,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大兄,命宮,大耗
2019,戊辰, , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , ,大命,父母,伏兵
2019,己巳,天府, , , , , , , , ,1, , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , ,1, ,科, ,大父,福德,官符
2019,庚午,天同, , , ,太陰, ,權, ,1, ,1, ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大福,田宅,博士
2019,辛未,武曲,祿, ,祿,貪狼,權,祿,權, , , ,1, ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大田,官祿,力士
2019,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌, ,忌, , , , , , , , ,大官,僕役,青龍
2019,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,遷移,小耗
2019,甲戌,天機, ,忌, ,天梁,科, ,科, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,大遷,疾厄,將軍
2019,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大疾,財帛,奏書
2020,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大財,子女,蜚廉
2020,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大子,夫妻,喜神
2020,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大夫,兄弟,病符
2020,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , ,大兄,命宮,大耗
2020,戊辰, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,父母,伏兵
2020,己巳,天府, , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,科, ,大父,福德,官符
2020,庚午,天同, , ,科,太陰, ,權, ,1, , , ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大福,田宅,博士
2020,辛未,武曲,祿, ,權,貪狼,權,祿, , , , ,1, , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , ,大田,官祿,力士
2020,壬申,太陽, , ,祿,巨門, , , , , ,1, , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,大官,僕役,青龍
2020,癸酉,天相, , ,忌, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,遷移,小耗
2020,甲戌,天機, ,忌, ,天梁,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,疾厄,將軍
2020,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大疾,財帛,奏書
2021,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大財,子女,蜚廉
2021,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大子,夫妻,喜神
2021,丙寅, , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , ,大夫,兄弟,病符
2021,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大兄,命宮,大耗
2021,戊辰, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,父母,伏兵
2021,己巳,天府, , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,科, ,大父,福德,官符
2021,庚午,天同, , , ,太陰, ,權, ,1, , , ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大福,田宅,博士
2021,辛未,武曲,祿, , ,貪狼,權,祿, , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大田,官祿,力士
2021,壬申,太陽, , ,權,巨門, , ,祿, , , , , , , , ,1, , , , , , , , , , , , ,1,忌, ,科, , , , , , , , ,大官,僕役,青龍
2021,癸酉,天相, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,遷移,小耗
2021,甲戌,天機, ,忌, ,天梁,科, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,疾厄,將軍
2021,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大疾,財帛,奏書
2022,丙子, , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大財,子女,蜚廉
2022,丁丑, , , , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , ,大子,夫妻,喜神
2022,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大夫,兄弟,病符
2022,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大兄,命宮,大耗
2022,戊辰, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,父母,伏兵
2022,己巳,天府, , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,科, ,大父,福德,官符
2022,庚午,天同, , , ,太陰, ,權, ,1, , , ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大福,田宅,博士
2022,辛未,武曲,祿, ,忌,貪狼,權,祿, , , , ,1, , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , ,大田,官祿,力士
2022,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,大官,僕役,青龍
2022,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,科, , , , ,大僕,遷移,小耗
2022,甲戌,天機, ,忌, ,天梁,科, ,祿, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,大遷,疾厄,將軍
2022,乙亥,紫微, , ,權,七殺, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大疾,財帛,奏書
2023,丙子, , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大財,子女,蜚廉
2023,丁丑, , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大子,夫妻,喜神
2023,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大夫,兄弟,病符
2023,丁卯,廉貞, , , ,破軍, , ,祿, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大兄,命宮,大耗
2023,戊辰, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,父母,伏兵
2023,己巳,天府, , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,科, ,大父,福德,官符
2023,庚午,天同, , , ,太陰, ,權,科,1, , , ,1, , , , , , , , , , ,1,1,1, , , , , , , , , , , , , , , ,大福,田宅,博士
2023,辛未,武曲,祿, , ,貪狼,權,祿,忌, , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大田,官祿,力士
2023,壬申,太陽, , , ,巨門, , ,權, , , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,大官,僕役,青龍
2023,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,遷移,小耗
2023,甲戌,天機, ,忌, ,天梁,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,疾厄,將軍
2023,乙亥,紫微, , , ,七殺, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,大疾,財帛,奏書
2024,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大財,子女,蜚廉
2024,丁丑, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , ,大子,夫妻,喜神
2024,丙寅, , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大夫,兄弟,病符
2024,丁卯,廉貞, , ,祿,破軍, , ,權, , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大兄,命宮,大耗
2024,戊辰, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,父母,伏兵
2024,己巳,天府, , , , , , , , ,1, , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , ,1, ,科, ,大父,福德,官符
2024,庚午,天同, , , ,太陰, ,權, ,1, , , ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大福,田宅,博士
2024,辛未,武曲,祿, ,科,貪狼,權,祿, , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大田,官祿,力士
2024,壬申,太陽, , ,忌,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,大官,僕役,青龍
2024,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,遷移,小耗
2024,甲戌,天機, ,忌, ,天梁,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,疾厄,將軍
2024,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,大疾,財帛,奏書
3限,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
3限,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大財,夫妻,喜神
3限,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大子,兄弟,病符
3限,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大夫,命宮,大耗
3限,戊辰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
3限,己巳,天府, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,福德,官符
3限,庚午,天同, , , ,太陰, , , ,1,1, , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
3限,辛未,武曲,祿,祿, ,貪狼,權,權, , , , ,1,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大福,官祿,力士
3限,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌,忌, , , , , , , , , ,大田,僕役,青龍
3限,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大官,遷移,小耗
3限,甲戌,天機, , , ,天梁,科,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,疾厄,將軍
3限,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,財帛,奏書
2025,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
2025,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大財,夫妻,喜神
2025,丙寅, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,大子,兄弟,病符
2025,丁卯,廉貞, , , ,破軍, , , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大夫,命宮,大耗
2025,戊辰, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
2025,己巳,天府, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,福德,官符
2025,庚午,天同, , , ,太陰, , ,忌,1,1, , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
2025,辛未,武曲,祿,祿, ,貪狼,權,權, , , , ,1,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大福,官祿,力士
2025,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌,忌, , , , , , , , , ,大田,僕役,青龍
2025,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大官,遷移,小耗
2025,甲戌,天機, , ,祿,天梁,科,科,權, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,大僕,疾厄,將軍
2025,乙亥,紫微, , ,科,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,財帛,奏書
2026,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
2026,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大財,夫妻,喜神
2026,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大子,兄弟,病符
2026,丁卯,廉貞, , ,忌,破軍, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , ,大夫,命宮,大耗
2026,戊辰, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
2026,己巳,天府, , , , , , , , , ,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,福德,官符
2026,庚午,天同, , ,祿,太陰, , , ,1,1, , , ,1, , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
2026,辛未,武曲,祿,祿, ,貪狼,權,權, , , , ,1,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大福,官祿,力士
2026,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌,忌, , , , , , , , , ,大田,僕役,青龍
2026,癸酉,天相, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,大官,遷移,小耗
2026,甲戌,天機, , ,權,天梁,科,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,疾厄,將軍
2026,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,財帛,奏書
2027,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
2027,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大財,夫妻,喜神
2027,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , ,大子,兄弟,病符
2027,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大夫,命宮,大耗
2027,戊辰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
2027,己巳,天府, , , , , , , , , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,大命,福德,官符
2027,庚午,天同, , ,權,太陰, , ,祿,1,1,1, , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
2027,辛未,武曲,祿,祿, ,貪狼,權,權, , , , ,1,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大福,官祿,力士
2027,壬申,太陽, , , ,巨門, , ,忌, , , , , , , , , , , , , , ,1, , , , , , ,1,忌,忌, , , , , , , , , ,大田,僕役,青龍
2027,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大官,遷移,小耗
2027,甲戌,天機, , ,科,天梁,科,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,疾厄,將軍
2027,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,財帛,奏書
2028,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
2028,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , ,大財,夫妻,喜神
2028,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大子,兄弟,病符
2028,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大夫,命宮,大耗
2028,戊辰, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
2028,己巳,天府, , , , , , , , , ,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , ,1, , ,科,大命,福德,官符
2028,庚午,天同, , , ,太陰, , ,權,1,1, , , ,1, , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
2028,辛未,武曲,祿,祿, ,貪狼,權,權,祿, , , ,1,1, , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , ,大福,官祿,力士
2028,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌,忌, , , , , , , , , ,大田,僕役,青龍
2028,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大官,遷移,小耗
2028,甲戌,天機, , ,忌,天梁,科,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,疾厄,將軍
2028,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,財帛,奏書
2029,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
2029,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大財,夫妻,喜神
2029,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大子,兄弟,病符
2029,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大夫,命宮,大耗
2029,戊辰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
2029,己巳,天府, , , , , , , , , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,大命,福德,官符
2029,庚午,天同, , , ,太陰, , , ,1,1,1, , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
2029,辛未,武曲,祿,祿,祿,貪狼,權,權,權, , , ,1,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大福,官祿,力士
2029,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌,忌,忌, , , , , , , , ,大田,僕役,青龍
2029,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大官,遷移,小耗
2029,甲戌,天機, , , ,天梁,科,科,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,疾厄,將軍
2029,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,財帛,奏書
2030,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
2030,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大財,夫妻,喜神
2030,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大子,兄弟,病符
2030,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大夫,命宮,大耗
2030,戊辰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
2030,己巳,天府, , , , , , , , , , , , , ,1,1, , , , , , ,1, , , , , , , , , , , , , , , , , , ,大命,福德,官符
2030,庚午,天同, , ,科,太陰, , , ,1,1, , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
2030,辛未,武曲,祿,祿,權,貪狼,權,權, , , , ,1,1, , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , ,大福,官祿,力士
2030,壬申,太陽, , ,祿,巨門, , , , , ,1, , , , , , , , , , , , , , , , , , ,1,忌,忌, , , , , , , , , ,大田,僕役,青龍
2030,癸酉,天相, , ,忌, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,大官,遷移,小耗
2030,甲戌,天機, , , ,天梁,科,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,疾厄,將軍
2030,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,大遷,財帛,奏書
2031,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
2031,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大財,夫妻,喜神
2031,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大子,兄弟,病符
2031,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大夫,命宮,大耗
2031,戊辰, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
2031,己巳,天府, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,福德,官符
2031,庚午,天同, , , ,太陰, , , ,1,1, , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
2031,辛未,武曲,祿,祿, ,貪狼,權,權, , , , ,1,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,大福,官祿,力士
2031,壬申,太陽, , ,權,巨門, , ,祿, , , , , , , , ,1, , , , , , , , , , , , ,1,忌,忌,科, , , , , , , , ,大田,僕役,青龍
2031,癸酉,天相, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大官,遷移,小耗
2031,甲戌,天機, , , ,天梁,科,科, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,大僕,疾厄,將軍
2031,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大遷,財帛,奏書
2032,丙子, , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大疾,子女,蜚廉
2032,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大財,夫妻,喜神
2032,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大子,兄弟,病符
2032,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , ,大夫,命宮,大耗
2032,戊辰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大兄,父母,伏兵
2032,己巳,天府, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大命,福德,官符
2032,庚午,天同, , , ,太陰, , , ,1,1, , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,大父,田宅,博士
